s0	0.076647
s1	0.314524
s2	0.076647
s3	0.275196
s4	0.076647
s5	0.746535
s6	0.076647
s7	0.120080
s8	0.076647
s9	0.746535
s10	0.746535
s11	0.076647
s12	0.076647
s13	0.076647
s14	0.746535
s15	0.076647
s16	0.314524
s17	0.447071
s18	0.076647
s19	0.120080
s20	0.076647
s21	0.314524
s22	0.746535
s23	0.447071
s24	0.076647
s25	0.076647
s26	0.447071
s27	0.447071
s28	0.076647
s29	0.746535
s30	0.076647
s31	0.076647
s32	0.447071
s33	0.746535
s34	0.275196
s35	0.076647
s36	0.447071
s37	0.076647
s38	0.447071
s39	0.076647
s40	0.746535
s41	0.076647
s42	0.076647
s43	0.998919
s44	0.076647
s45	0.076647
s46	0.120080
s47	0.076647
s48	0.998919
s49	0.076647
s50	0.447071
s51	0.746535
s52	0.314524
s53	0.076647
s54	0.076647
s55	0.746535
s56	0.076647
s57	0.447071
s58	0.076647
s59	0.746535
s60	0.746535
s61	0.998919
s62	0.447071
s63	0.447071
s64	0.120080
s65	0.998919
s66	0.076647
s67	0.314524
s68	0.275196
s69	0.120080
s70	0.076647
s71	0.120080
s72	0.447071
s73	0.076647
s74	0.120080
s75	0.746535
s76	0.076647
s77	0.998919
s78	0.447071
s79	0.076647
s80	0.998919
s81	0.314524
s82	0.998919
s83	0.314524
s84	0.076647
s85	0.998919
s86	0.076647
s87	0.120080
s88	0.746535
s89	0.447071
s90	0.746535
s91	0.447071
s92	0.076647
s93	0.076647
s94	0.746535
s95	0.746535
s96	0.447071
s97	0.120080
s98	0.076647
s99	0.998919
